Area,Key,Role,MaxChars,English,Somali (current),Somali (AI),Reviewer notes
Settings,settingsCurrencyLockedMessage,empty_error,,Currency can't be changed once the shop has recorded a transaction. Contact support to change it.,Lacagta lama beddeli karo marka dukaanku diiwaangeliyo wax ganacsi. La xiriir taageerada si aad u beddesho.,,
Products,productsTitle,title,20,Products,Alaab,,
Products,productsSearchHint,hint,,Search Somali or English,Ku Raadi Soomaali ama Ingiriis,,
Products,productsNewItemButton,button,18,NEW ITEM,Alaab CUSUB,,
Products,productsEmptyMessage,empty_error,,No items yet. Add one from the catalog below.,Alaabo maleh. Kudar hadda liiska guud.,,
Products,productsSearchEmptyMessage,empty_error,,Nothing matches “{query}”.,Wax la mid ah “{query}” maleh.,,
Products,productsLoadFailedMessage,empty_error,,Could not load products. Check your internet and try again.,Alaabo lama soo dejin karin. Hubi internetka oo isku day mar kale.,,
Sale,saleTitle,title,20,Sale,Iibin,,
Sale,saleSearchHint,hint,,Search Somali or English,Ku Raadi Soomaali ama Ingiriis,,
Sale,saleCartSummary,body,,"{count, plural, =0{No items} =1{1 item} other{{count} items}} · {total}","{count, plural, =0{Alaab maleh} =1{1 shay} other{{count} shay}} · {total}",,
Sale,saleEmptyFavoritesMessage,empty_error,,Add products from the catalog to see them here.,Ku dar alaabo liiska guud si aad halkan ku aragto.,,
Sale,saleSearchEmptyMessage,empty_error,,Nothing matches “{query}”.,Wax la mid ah “{query}” ma jiraan.,,
Sale,saleLoadFailedMessage,empty_error,,Could not load items. Check your internet and try again.,Alaabo lama soo dejin karin. Hubi internetka oo isku day mar kale.,,
Sale,saleCash,body,,Cash,Lacag,,
Sale,saleDebt,body,,Debt,Deyn,,
Sale,salePickCustomerButton,button,18,Pick customer,Dooro macmiil,,
Sale,saleCustomerChip,body,,{name} · owes {amount},{name} · wuxuu qabaa {amount},,
Sale,saleSaveButton,button_save,12,SAVE,KEYDI,,
Sale,salePostFailedMessage,empty_error,,Could not save the sale. Check your internet and try again.,Iibka lama keydin karin. Hubi internetka oo isku day mar kale.,,
Sale,saleNeedItemsMessage,empty_error,,Add at least one item before saving.,Marka hore ku dar ugu yaraan hal shay.,,
Sale,saleNeedCustomerMessage,empty_error,,Pick the customer for this debt sale.,Dooro macmiilka iibka deynta ah.,,
Common,customerPickerTitle,title,20,Choose customer,Dooro macmiil,,
Common,customerPickerSearchHint,hint,,Search name or phone,Raadi magaca ama telefoonka,,
Common,customerPickerOwesLabel,label,24,owes {amount},wuxuu qabaa{amount},,
Common,customerPickerNoDebtLabel,label,24,no debt,deyn la'aan,,
Common,customerPickerEmptyMessage,empty_error,,No customers yet. Add one when you record a debt sale.,Wali macmiil ma jiro. Ku dar marka aad qorto iib deyn ah.,,
Common,customerPickerSearchEmptyMessage,empty_error,,No customers match “{query}”.,Macmiil la mid ah “{query}” ma jiro.,,
Common,customerPickerLoadFailedMessage,empty_error,,Could not load customers. Check your internet and try again.,Macaamiisha lama soo dejin karin. Hubi internetka oo isku day mar kale.,,
Common,customerNewButton,button,18,+ NEW CUSTOMER,+ MACMIIL CUSUB,,
Parties,partyNewCustomerTitle,title,20,New customer,Macmiil cusub,,
Parties,partyNewSupplierTitle,title,20,New supplier,Alaab keene cusub,,
Parties,partyNewNameLabel,label,24,Name,Magaca,,
Parties,partyNewPhoneLabel,label,24,Phone,Telefoonka,,
Parties,partyNewSaveButton,button_save,12,ADD,KU DAR,,
Parties,partyNewNameRequiredMessage,empty_error,,Enter a name,Geli magac,,
Parties,partyNewSaveFailedMessage,empty_error,,Could not add. Check your internet and try again.,Luguma dari karin. Hubi internetka oo isku day mar kale.,,
Payment,paymentTypeCustomer,body,,Customer,Macmiil,,
Payment,paymentTypeSupplier,body,,Supplier,Alaab keene,,
Payment,paymentTypeCustomerHint,hint,,Customer is paying you back,Macmiilku wuxuu ku siinayaa lacag,,
Payment,paymentTypeSupplierHint,hint,,You are paying the supplier,Waxaad alaab keenaha siinaysaa lacag,,
Payment,paymentPickCustomerButton,button,18,Pick customer,Dooro macmiil,,
Payment,paymentPickSupplierButton,button,18,Pick supplier,Dooro alaab keene,,
Payment,paymentCustomerOwesLabel,label,24,Owes you {amount},Wuxuu kuu leeyahay {amount},,
Payment,paymentSupplierOwedLabel,label,24,You owe {amount},Waxaad ka qabtaa {amount},,
Payment,paymentAmountLabel,label,24,Amount paid,Lacagta la bixiyay,,
Payment,paymentSaveButton,button_save,12,SAVE,KEYDI,,
Payment,paymentNotesLabel,label,24,Note,Qoraal,,
Payment,paymentSavedToast,toast,,Payment saved,Lacag bixinta waa la keydiyay,,
Payment,paymentNeedPartyMessage,empty_error,,"Pick a {type, select, supplier{supplier} other{customer}} first.","Marka hore dooro {type, select, supplier{alaab keenaha} other{macmiilka}}.",,
Payment,paymentNeedAmountMessage,empty_error,,Enter an amount greater than zero.,Geli lacag ka badan eber.,,
Payment,paymentExceedsBalanceMessage,empty_error,,Amount cannot exceed the outstanding balance ({amount}).,Lacagtu kama badnaan karto wadarta deynta ({amount}).,,
Payment,paymentPostFailedMessage,empty_error,,Could not save the payment. Check your internet and try again.,Lacag bixinta lama keydin karin. Hubi internetka oo isku day mar kale.,,
Payment,paymentChooseInvoicesChip,body,,Choose invoices,Dooro biilasha,,
Payment,paymentChooseInvoicesChipDone,body,,"{count, plural, =1{1 invoice chosen} other{{count} invoices chosen}}","{count, plural, =1{1 biil ayaa la doortay} other{{count} biil ayaa la doortay}}",,
Common,allocationHeader,header,24,{party} · choose invoices,{party} · dooro biilasha,,
Common,allocationToAllocate,body,,{amount} to allocate,{amount} ayaa la qaybinaayaa,,
Common,allocationRowOpen,body,,Open {open} of {original},Furan {open} ee {original},,
Common,allocationStillToAllocate,body,,Still to allocate: {amount},Wali waxaa hadhay: {amount},,
Common,allocationOverAllocated,body,,Over by {amount},Waad dheereysay: {amount},,
Common,allocationBalanced,body,,Balanced,Saxan,,
Common,allocationApplyButton,button,18,APPLY,ADKEE,,
Common,allocationNeedAtLeastOne,body,,Choose at least one invoice to apply.,Doorro biil ugu yaraan mid si aad u adkayso.,,
Common,allocationLoadFailed,body,,Could not load open invoices.,Biilasha furan lama soo qaadan karin.,,
Common,allocationNoOpenInvoices,body,,No open invoices for this person.,Biil furan oo qofkan ah ma jiraan.,,
Parties,partyDetailOpenInvoicesHeader,header,24,Open invoices,Biilasha furan,,
Parties,partyDetailOpenInvoiceRow,body,,{open} open of {original},{open} furan oo {original},,
Expense,expenseCategoryLabel,label,24,Category,Nooca,,
Expense,expenseAmountLabel,label,24,Amount,Lacagta,,
Expense,expenseSaveButton,button_save,12,SAVE,KEYDI,,
Expense,expenseNotesLabel,label,24,Note,Qoraal,,
Expense,expenseSavedToast,toast,,Expense saved,Qarashka waa la keydiyay,,
Expense,expenseNeedCategoryMessage,empty_error,,Pick a category first.,Marka hore dooro nooc.,,
Expense,expenseNeedAmountMessage,empty_error,,Enter an amount greater than zero.,Geli lacag ka badan eber.,,
Expense,expenseLoadFailedMessage,empty_error,,Could not load categories. Check your internet and try again.,Noocyada lama soo dejin karin. Hubi internetka oo isku day mar kale.,,
Expense,expensePostFailedMessage,empty_error,,Could not save the expense. Check your internet and try again.,Qarashka lama keydin karin. Hubi internetka oo isku day mar kale.,,
Expense,expenseEmptyMessage,empty_error,,No expense categories yet. Pick a shop type in Settings.,Wali noocyada qarashaadka lama galin. Ka dooro nooca dukaanka meesha Diyaarinta.,,
Sale,saleHistoryTitle,title,20,Sales,Iibin,,
History,historyYesterday,body,,Yesterday,Shalay,,
History,historyToday,body,,Today,Maanta,,
Sale,saleHistoryTooltip,body,,Sales history,Sooyaalka iibka,,
Sale,saleHistoryEmptyMessage,empty_error,,No sales yet. The first SAVE on the Sale screen will land here.,Wali waxba lama gadin.  Marka hore wax gad.,,
Sale,saleHistoryLoadFailedMessage,empty_error,,Could not load sales. Check your internet and try again.,Iibka lama soo dejin karin. Hubi internetka oo isku day mar kale.,,
Sale,saleHistoryCashLabel,label,24,Cash,Kaash,,
Sale,saleHistoryDebtLabel,label,24,Debt · {name},Deyn · {name},,
Sale,saleHistoryVoidedBadge,chip,12,Voided,LagaNoqday,,
Sale,saleDetailTitle,title,20,Sale,Iib,,
Sale,saleDetailVoidedHeader,header,24,Voided,LagaNoqday,,
Sale,saleDetailVoidButton,button,18,VOID THIS SALE,Ka noqo IIBKA,,
Expense,expenseDetailTitle,title,20,Expense,Kharash,,
Expense,expenseDetailVoidButton,button,18,VOID THIS EXPENSE,TIRTIR KHARASHKAN,,
Expense,expenseDetailLoadFailedMessage,empty_error,,Couldn't load this expense.,Lama soo qaadan karin kharashkan.,,
Expense,expenseVoidConfirmTitle,dialog_title,30,Void this expense?,Tirtir kharashkan?,,
Expense,expenseVoidConfirmBody,dialog_body,,This reverses the expense. It can't be undone.,Tani way ka noqonaysaa kharashka. Lama soo celin karo.,,
Expense,expenseVoidConfirmYes,button,14,VOID,TIRTIR,,
Expense,expenseVoidedToast,toast,,Expense voided,Kharash waa la tirtiray,,
Expense,expenseVoidFailedMessage,empty_error,,Couldn't void this expense.,Lama tirtiri karin kharashkan.,,
Payment,paymentDetailVoidButton,button,18,VOID THIS PAYMENT,TIRTIR LACAGTAN,,
Payment,paymentVoidConfirmTitle,dialog_title,30,Void this payment?,Tirtir lacagtan?,,
Payment,paymentVoidConfirmBody,dialog_body,,This reverses the payment and reopens what it settled. It can't be undone.,Tani way ka noqonaysaa lacagta oo dib u furaysaa wixii la bixiyay. Lama soo celin karo.,,
Payment,paymentVoidConfirmYes,button,14,VOID,TIRTIR,,
Payment,paymentVoidedToast,toast,,Payment voided,Lacag waa la tirtiray,,
Payment,paymentVoidedHeader,header,24,Voided,La tirtiray,,
Payment,paymentVoidFailedMessage,empty_error,,Couldn't void this payment.,Lama tirtiri karin lacagtan.,,
Payment,paymentVoidWindowPassedHint,hint,,Void window passed,Wakhtigii tirtiridda wuu dhammaaday,,
Sale,saleDetailLineSubtotal,body,,{quantity} {unit} × {unitPrice} = {subtotal},{quantity} {unit} × {unitPrice} = {subtotal},,
Sale,saleDetailTotalLabel,label,24,Total,Wadar,,
Sale,saleDetailCashLabel,label,24,Cash,Kaash,,
Sale,saleDetailDebtLabel,label,24,Debt,Deyn,,
Common,receiptNumberLabel,label,24,Receipt,Rasiidka,,
Common,receiptDateLabel,label,24,Date,Taariikhda,,
Common,receiptThankYou,body,,Thank you!,Mahadsanid!,,
Sale,saleDetailLoadFailedMessage,empty_error,,Could not load this sale.,Iibkaan lama soo dejin karin.,,
Sale,saleReceiptShareButton,button,18,SHARE RECEIPT,U DIR RASIID,,
Sale,saleReceiptDoneButton,button,18,DONE,DHAMMEYSTIR,,
Sale,saleHistoryReceiptTooltip,body,,Open receipt,Fur rasiidka,,
Sale,saleVoidConfirmTitle,dialog_title,30,Void this sale?,Ka noqo iibkan?,,
Sale,saleVoidConfirmBody,dialog_body,,"This will reverse the sale, restore the stock, and clear the customer's debt for it.","Iibka waa laga noqo doonaa, alaabta kayd-ka lugu celi doonaa, deynta macmiilka waa laga jari doonaa.",,
Sale,saleVoidConfirmYes,button,14,VOID,KaNoqo,,
Sale,saleVoidConfirmNo,button,14,CANCEL,JOOJI,,
Sale,saleVoidRefundCheckboxLabel,label,24,Refund cash to the customer,Lacagta u celi macmiilka,,
Sale,saleVoidRefundAmountLabel,label,24,Refund amount,Lacagta la celiyay,,
Sale,saleVoidRefundPaidHint,hint,,paid: {amount},la bixiyay: {amount},,
Sale,saleVoidRefundExceedsPaidMessage,empty_error,,Refund cannot exceed the cash paid ({paid}).,Lacagta la celiyay kama badnaan karto lacagta la bixiyay ({paid}).,,
Sale,saleVoidedToast,toast,,Sale voided,Iibka waa laga noqday,,
Sale,saleVoidFailedMessage,empty_error,,Could not void this sale. Try again.,Iibka lagama noqo karin. Isku day mar kale.,,
Sale,saleVoidErrorOwnerOnly,body,,Only the shop owner can void a sale.,Kaliya milkiilaha dukaanka ayaa joojin kara iibka.,,
Sale,saleVoidErrorWindowExpired,body,,Too late to void — sales can only be voided within 7 days of posting.,Goorta way dhammaatay — iibyada waxaa la joojin karaa 7 maalmood gudahood.,,
Sale,saleVoidErrorAlreadyVoided,body,,This sale was already voided.,Iibkan hore ayaa loo joojiyay.,,
Sale,saleVoidErrorRefundNeedsCustomer,body,,Walk-in sales can't be refunded — there's no customer to refund to.,Iibyada xayeysiis (walk-in) lama soo celin karo — macmiil aan loogu celiyo ma jiro.,,
Sale,saleVoidErrorRefundExceedsPaid,body,,Refund can't be more than the cash paid at the till.,Soo-celinta lagama wada-weynaan karo lacagta kaashka.,,
Sale,saleVoidErrorNotFound,body,,Sale not found. Pull to refresh and try again.,Iibka lama helin. Cusboonaysii oo isku day mar kale.,,
Receive,receiveHistoryTitle,title,20,Receives,Alaabtii La dajiyey,,
Receive,receiveHistoryTooltip,body,,Receive history,Sooyaalka Alaab keenida,,
Receive,receiveHistoryEmptyMessage,empty_error,,No receives yet. The first SAVE on the Receive screen will land here.,Wali Alaab Lama dejin. Marka hore alaab daji.,,
Receive,receiveHistoryLoadFailedMessage,empty_error,,Could not load receives. Check your internet and try again.,Sooyaalka Alaab Keenida lama soo dejin karin. Hubi internetka oo isku day mar kale.,,
Receive,receiveHistorySupplierLabel,label,24,Supplier · {name},Alaab keene · {name},,
Receive,receiveHistoryVoidedBadge,chip,12,Voided,Laga Noqday,,
Receive,receiveDetailTitle,title,20,Receive,Alaab La Dajiyey,,
Receive,receiveDetailVoidedHeader,header,24,Voided,Laga Noqday,,
Receive,receiveDetailVoidButton,button,18,VOID THIS RECEIVE,Ka Noqo BONADAN,,
Receive,receiveDetailLineSubtotal,body,,{quantity} {unit} × {unitCost} = {subtotal},{quantity} {unit} × {unitCost} = {subtotal},,
Receive,receiveDetailTotalLabel,label,24,Total,Wadar,,
Receive,receiveDetailLoadFailedMessage,empty_error,,Could not load this receive.,Alaab dajintan lama soo dejin karin.,,
Receive,receiveVoidConfirmTitle,dialog_title,30,Void this receive?,Ka noqo alaab dajintan?,,
Receive,receiveVoidConfirmBody,dialog_body,,"Use this only when you typed the receive wrong. It reverses the receive, removes the stock, and clears what you owe the supplier for it.","Tan u isticmaal kaliya marka aad qaladka u dhigtay alaab dajinta. Alaab dajinta waa laga noqo doonaa, alaabta kayd-ka waa laga dhimi doonaa, oo lacagta aad alaab keenaha ka qabto ee alaab dajintan waa la nadiifin doonaa.",,
Receive,receiveVoidMistakesOnlyHint,hint,,"Mistakes only. For real returns to the supplier, record a Payment instead.","Kaliya qaladaad. Haddii aad alaab keenaha wax u celineyso, taas u qor lacag-bixinta.",,
Receive,receiveVoidConfirmYes,button,14,VOID,KaNoqo,,
Receive,receiveVoidConfirmNo,button,14,CANCEL,JOOJI,,
Receive,receiveVoidedToast,toast,,Receive voided,Alaab dajinta waa laga noqday,,
Receive,receiveVoidFailedMessage,empty_error,,Could not void this receive. Check your internet and try again.,Alaab dajinta lagama noqo karin. Hubi internetka oo isku day mar kale.,,
Receive,receiveVoidBlockedStockMessage,empty_error,,Some items from this receive have already moved. Void blocked.,Alaabaha alaab dajintan qaarkood mar hore wuu dhaqaaqay. Ka noqoshada waa la joojiyay.,,
Sale,cartLineSubtotal,body,,{quantity} × {unitPrice} = {subtotal},{quantity} × {unitPrice} = {subtotal},,
Sale,cartRemoveLineTooltip,body,,Remove {name},Ka saar {name},,
Sale,cartClearAllButton,button,18,Clear,Tirtir,,
Sale,cartClearConfirmTitle,dialog_title,30,"Clear {count, plural, =1{1 item} other{{count} items}} from cart?","Ka tirtir {count, plural, =1{1 shay} other{{count} shay}} danbiisha?",,
Sale,cartClearConfirmBody,dialog_body,,This won't undo any saved sale.,Tan ma noqonayso iib hore loo keydiyay.,,
Sale,cartClearConfirmYes,button,14,CLEAR,TIRTIR,,
Sale,cartClearConfirmNo,button,14,CANCEL,JOOJI,,
Sale,lineEditorDoneButton,button,18,DONE,DHAMME,,
Sale,lineEditorPriceRequiredHelper,helper,,Set a price for this item,Geli qiimaha shaygan,,
Sale,lineEditorInvalidPriceMessage,empty_error,,Enter a number 0 or more,Geli lambar 0 ama wax ka badan,,
Sale,lineEditorTilePriceMissing,body,,—,—,,
Receive,supplierPickerTitle,title,20,Pick supplier,Dooro alaab keenaha,,
Receive,supplierPickerSearchHint,hint,,Search name or phone,Ku Raadi magaca ama telefoonka,,
Receive,supplierPickerOwesLabel,label,24,you owe {amount},waxaad ka qabtaa {amount},,
Receive,supplierPickerNoBonosLabel,label,24,no receives yet,alaab dajin maleh,,
Receive,supplierPickerEmptyMessage,empty_error,,No suppliers yet. Add one when you record a receive.,Alaab keene maleh. Ku dar marka aad qorto alaab dajin.,,
Receive,supplierPickerSearchEmptyMessage,empty_error,,No suppliers match “{query}”.,Alaab keene la mid ah “{query}” maleh.,,
Receive,supplierPickerLoadFailedMessage,empty_error,,Could not load suppliers. Check your internet and try again.,Alaab keenayaasha lama soo dejin karin. Hubi internetka oo isku day mar kale.,,
Receive,supplierNewButton,button,18,+ NEW SUPPLIER,+ ALAAB KEENE CUSUB,,
Receive,receiveSearchHint,hint,,Search Somali or English,Ku Raadi Soomaali ama Ingiriis,,
Receive,receiveLoadFailedMessage,empty_error,,Could not load items. Check your internet and try again.,Alaabo lama soo dejin karin. Hubi internetka oo isku day mar kale.,,
Receive,receiveEmptyMessage,empty_error,,Tap an item to start the receive. Search if it's not in the grid.,Taabo alaab si aad u bilowdo alaab dajin. Ku raadi haddii aysan ku jirin shabakada.,,
Receive,receiveLineQuantityLabel,label,24,Qty,Tirada,,
Receive,receiveLineTotalLabel,label,24,{currency} total,{currency} wadarta,,
Receive,receiveLineDerivedPerUnit,body,,= {money} per {packaging},= {money} mid kasta {packaging},,
Receive,receiveAddLineButton,button,18,ADD LINE,KU DAR SADAR,,
Receive,receiveLineSubtotal,body,,{quantity} {unit} = {total},{quantity} {unit} · {total},,
Receive,receiveLineRemoveTooltip,body,,Remove {name},Ka saar {name},,
Receive,receiveLinesSummary,body,,"{count, plural, =0{No lines} =1{1 line} other{{count} lines}} · {total}","{count, plural, =0{Wax sadar ah maleh} =1{1 sadar} other{{count} sadar}} · {total}",,
Receive,receiveLinesClearAllButton,button,18,Clear,Tirtir,,
Receive,receiveLinesClearConfirmTitle,dialog_title,30,"Clear {count, plural, =1{1 line} other{{count} lines}}?","Tirtir {count, plural, =1{1 sadar} other{{count} sadar}}?",,
Receive,receiveLinesClearConfirmBody,dialog_body,,This won't undo any saved receive.,Tan ma noqonayso alaab dajin hore loo keydiyay.,,
Receive,receiveLinesClearConfirmYes,button,14,CLEAR,TIRTIR,,
Receive,receiveLinesClearConfirmNo,button,14,CANCEL,JOOJI,,
Receive,receiveSaveButton,button_save,12,SAVE,KEYDI,,
Receive,receiveSavedToast,toast,,Receive saved (on credit),Alaab dajin waa la keydiyay (deyn),,
Receive,receivePostFailedMessage,empty_error,,Could not save the receive. Check your internet and try again.,Alaab dajinta lama keydin karin. Hubi internetka oo isku day mar kale.,,
Receive,receiveNeedSupplierMessage,empty_error,,Pick a supplier before saving.,Dooro alaab keene ka hor inta aadan keydin.,,
Receive,receiveNeedLinesMessage,empty_error,,Add at least one line before saving.,Marka hore ku dar ugu yaraan hal sadar.,,
Receive,unitPickerTitle,title,20,Choose unit,Dooro halbeeg,,
Receive,unitPickerDefaultBadge,chip,12,default,caadi,,
Receive,unitPickerBaseUnit,body,,base unit,halbeeg aasaasi,,
Receive,unitPickerLoadFailedMessage,empty_error,,Could not load units. Try again.,Halbeegyada lama soo dejin karin. Isku day mar kale.,,
Receive,unitPickerAddPackagingButton,button,18,+ Add packaging,+ Ku dar baakad,,
Sale,addNewItemSearchResult,body,,+ Add new item: “{query}”,+ Ku dar alaab cusub: “{query}”,,
Sale,addNewItemSheetTitle,title,20,Add new item,Ku dar alaab cusub,,
Sale,addNewItemNameLabel,label,24,Name,Magaca,,
Sale,addNewItemUnitChooseHint,hint,,Choose,Dooro,,
Sale,addNewItemCategoryLabel,label,24,Category (optional),Nooca (ikhtiyaari),,
Sale,addNewItemCancelButton,button,18,CANCEL,JOOJI,,
Sale,addNewItemAddToSaleButton,button,18,ADD TO SALE,KU DAR IIBKA,,
Sale,addNewItemAddToReceiveButton,button,18,ADD TO RECEIVE,KU DAR ALAAB DAJINTA,,
Sale,addNewItemMissingNameMessage,empty_error,,Name is required,Magaca waa loo baahan yahay,,
Sale,addNewItemMissingUnitMessage,empty_error,,Pick a unit,Dooro halbeeg,,
Sale,addNewItemInvalidPriceMessage,empty_error,,Enter a price (0 or more),Geli qiimaha (0 ama wax ka badan),,
Sale,addNewItemFailedMessage,empty_error,,Could not create the item. Try again.,Alaabta lama abuuri karin. Isku day mar kale.,,
Sale,addNewItemHowSoldHeader,header,24,How is it sold?,Sidee loo iibiyaa?,,
Sale,addNewItemHowDeliveredHeader,header,24,How did the supplier deliver?,Sidee bay alaabkeeneha u keenaan?,,
Sale,addNewItemBaseOnlyTile,body,,By {base},{base} ku iibiya,,
Sale,addNewItemPickedPriceLabel,label,24,Sale price per {packaging},Qiimaha iibka mid kasta {packaging},,
Sale,addNewItemCustomPackagingEntry,body,,+ Custom packaging,+ Baakad gaar ah,,
Sale,addNewItemCustomBaseUnitLabel,label,24,Base unit,Halbeegga aasaasi,,
Sale,addNewItemCustomSoldUnitLabel,label,24,Sold as,Loo iibiyo,,
Sale,addNewItemCustomConversionLabel,label,24,How many {base} in 1 {sold}?,Imisa {base} ayaa ku jira 1 {sold}?,,
Sale,addNewItemMissingPackagingMessage,empty_error,,Pick how it is sold,Dooro sida loo iibiyo,,
Sale,addNewItemLoadOptionsFailedHint,hint,,Could not load suggestions. Pick custom packaging.,Soo jeedimaha lama soo dejin karin. Dooro baakad gaar ah.,,
Sale,addNewItemUseCustomButton,button,18,USE THIS PACKAGING,ISTICMAAL BAAKADAN,,
Sale,addNewItemLooseType,body,,Loose,Furan,,
Receive,addPackagingSheetTitle,title,20,Add packaging,Ku dar baakad,,
Receive,addPackagingUnitLabel,label,24,Unit,Halbeeg,,
Receive,addPackagingConversionLabel,label,24,How many {base} in 1 {unit}?,Imisa {base} ayaa ku jira 1 {unit}?,,
Receive,addPackagingPriceLabel,label,24,Sale price per {unit} (optional),Qiimaha iibka mid kasta {unit} (ikhtiyaari),,
Receive,addPackagingSaveButton,button_save,12,ADD PACKAGING,KU DAR BAAKAD,,
Receive,addPackagingFailedMessage,empty_error,,Could not add the packaging. Try again.,Baakadda luguma dari karin. Isku day mar kale.,,
Receive,addPackagingHeaderBaseUnit,body,,Base unit · {unit},Halbeeg aasaasi · {unit},,
Receive,addPackagingSuggestionsHeader,header,24,Common packagings,Baakado caadi ah,,
Receive,addPackagingCustomEntry,body,,+ Custom packaging,+ Baakad gaar ah,,
Receive,addPackagingLessCommonHeader,header,24,Less common,Kuwo aan caadi ahayn,,
Common,packagingConversionPreview,body,,1 {unit} holds {qty} {base},1 {unit} waxay qaaddaa {qty} {base},,
